study_accession	parent_study_accession	tax_id
PRJEB6972		
PRJNA915969	PRJNA9554	7227
PRJEB24076		
PRJEB24775		
PRJNA901394	PRJNA9558	9606
PRJNA495060	PRJNA10621	10116
PRJNA788328		
PRJEB22640		
PRJEB40995		
PRJEB52431		
PRJEB60914		
PRJNA743735		749906
PRJEB40640		
PRJNA600229		
PRJEB34807		
PRJNA746763		
PRJEB13870		
PRJEB2778		
PRJDB7877		410661
PRJEB65071		
PRJEB65072		
PRJNA225802	PRJNA225800;PRJNA9559	10090
PRJNA288488		749906
PRJEB44178		
PRJDB11511		749906
PRJEB43382		
PRJEB46058		
PRJEB49159		
PRJNA855961	PRJNA12536;PRJNA911312	9544
PRJEB35097		
PRJEB36019		
PRJEB13266		
PRJEB13815		
PRJEB27375		
PRJEB37249	PRJEB53706	
PRJEB22905		
PRJEB28241		
PRJNA422192		1861841
PRJNA526814		408170
PRJNA774819		408170
PRJNA893407		
PRJNA757579		
PRJEB30521		
PRJEB55379		
PRJNA144719	PRJNA9558	9606
PRJNA546574	PRJNA9558	9606
PRJNA209298		408170
PRJEB30304		
PRJEB42517		
PRJEB42414		
PRJNA225804	PRJNA225800;PRJNA9559	10090
PRJNA262283		749906
PRJEB18805		
PRJNA312440		408170
PRJNA385735		408170
PRJEB20537		
PRJEB22491		
PRJEB28515		
PRJEB25138		
PRJEB24041		
PRJEB39031		
PRJEB33851		
PRJNA657455		749906
PRJNA657473		749906
PRJEB21196		
PRJNA629760		
PRJNA883645		
PRJEB14860		
PRJEB33625		
PRJEB41217		
PRJNA780249		
PRJNA270617		749906
PRJEB37715		
PRJEB58696		
PRJNA978040		
PRJNA978987		
PRJDB13079		410661
PRJDB6929		1510822
PRJEB46797		
PRJEB53209		
PRJEB57866		
PRJNA290526		408170
PRJNA351840		1436733
PRJNA450483		1510822
PRJNA639274		1427740
PRJNA827030		
PRJNA992486		
PRJEB30584		
PRJNA972641		
PRJDB12256		2705415
PRJDB9292		408170
PRJEB31981		
PRJEB41665		
PRJEB45356		
PRJNA312439		408170
PRJNA323603		408170
PRJNA763692		
PRJNA893700		
PRJNA908110		
PRJEB34522		
PRJNA266269		1510822
PRJEB21612		
PRJEB22554		
PRJEB23871		
PRJEB36025		
PRJEB36300		
PRJEB6921		
PRJNA385690		408170
PRJNA606123		506599
PRJNA701368		408170
PRJEB26627		
PRJEB48163	PRJEB40771	
PRJNA542027		
PRJNA661681		1436733
PRJNA833475	PRJNA9559	10090
PRJEB21752		
PRJNA554007	PRJNA10718	9823
PRJNA673762		1436733
PRJNA413787		
PRJNA494680		
PRJEB11754		
PRJDB86		408170
PRJNA432222		
PRJEB11755		
PRJEB23052		
PRJEB25022		
PRJEB6337		256318
PRJNA324129		408170
PRJNA381082		
PRJNA475435		1861841
PRJEB30401		
PRJEB34360		
PRJEB35531		
PRJNA413375		
PRJNA615786	PRJNA9559	10090
PRJEB14839		
PRJEB40461		
PRJNA579560		
PRJNA622914		1510822
PRJNA713967		1441287
PRJEB13896		
PRJEB24777		
PRJEB26490		
PRJEB35816		
PRJEB4927		
PRJNA283802		
PRJNA313324		408170
PRJNA315974	PRJNA9559	10090
PRJNA345074		408170
PRJNA395534		408170
PRJNA432094	PRJNA9559	10090
PRJNA518144	PRJNA564305;PRJNA9559	10090
PRJNA563855	PRJNA564305;PRJNA9559	10090
PRJNA593552	PRJNA564305;PRJNA9559	10090
PRJNA664511	PRJNA10718	9823
PRJNA687496	PRJNA11760	9796
PRJNA699003	PRJNA699006;PRJNA9559	10090
PRJNA699013	PRJNA699006;PRJNA9559	10090
PRJNA836304	PRJNA9558	9606
PRJNA844345	PRJNA9559	10090
PRJNA888214	PRJNA888206	408170
PRJNA888215	PRJNA888206;PRJNA9559	10090
PRJNA888216	PRJNA888206;PRJNA9559	10090
PRJEB42366		
PRJEB58699		
PRJNA958618		
PRJEB24061		
PRJNA158139	PRJNA12319	155864
PRJNA671805		
PRJNA716635		
PRJDB7524		410661
PRJEB30873		
PRJEB30953		
PRJEB44880		
PRJEB50452		
PRJEB61216		
